Full Name,Description,Job,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Reason,Known for,Notable Work,Image,Website,Children,Native Name,Signature,Title,Honours,Awards,Education,Birth Name,Nationality,Weight,Height,Eye Color,Hair Color
Anita Desai,,"Writer, professor",,,,,{{birth date and age|df|=|yes|1937|6|24}},,"[[Mussoorie]], [[Garhwal Kingdom|Princely State of Tehri Garhwal]], [[British India]] (present-day [[Uttarakhand]], [[India]])",,,,''In Custody''; ''Baumgartner's Bombay'',,,"4, including [[Kiran Desai]]",,,,,,,Anita Mazumdar,Indian,,,,
Anita Devi,,,,,,,16 April 1984,,"Lalpra village, Palwal district, Haryana",,,,,,,,,,,,,,,Indian,,,,
Anita Dongre,,[[Fashion Designer]],,,,,{{Birth date and age|df|=|yes|1963|10|03}},,"[[Bandra]], [[West Mumbai]]",,,,,"Neha Dhupia, Anita Dongre, Amrita Puri at '8th Annual Gemfields RioTinto Retail Jeweller India Awards 2012' meet 01.jpg",{{url|http://www.anitadongre.com/}},Yash Dongre,,,,,,[[Fashion Design]] [[SNDT Women's University]] in Mumbai 1998,,[[India]]n,,,,
Anita Dube,,[[contemporary artist]],,,,,{{birth date and age|df|=|y|1958|11|28}},,"[[Lucknow]], Uttar Pradesh, India",,,,,,,,,,,,,,,,,,,
Anita Nair,,Writer,,,,,{{Birth date and age|df|=|yes|1966|1|26}},,"[[Shoranur]], [[Kerala]], India",,,"''[[The Better Man (novel)|A Better Man]]'', ''Mistress'', ''[[Lessons in Forgetting]]''",,Anita-nair-portrait-wikipedia.jpg,,,,,,,,B.A (English Literature),,,,,,
Anita Reddy,,Social worker,,,,,,,"[[Chennai]], Tamil Nadu, India",,,,,,{{URL|Official web site}},"3, including [[Raam Reddy]]",,,,,[[Padma Shri]]<br>Mahila Sadhaki Award<br>Jean Harris Award<br>Woman Achiever Award<br>Namma Bengaluru Award<br>PRSI Award<br>Kempegowda Award<br>Lifetime Achievement  Award -TANA,,,,,,,
Anitha Pauldurai,,,,,,,{{birth date and age|df|=|yes|1985|06|22}},,"[[Chennai]], [[Tamil Nadu]], India",,,,,2017-03-19-PHOTO-00000093.jpg,,,,,,,,,,[[Indian people|Indian]],,,,
Anjali Bhagwat,,,,,,,{{birth date and age|1969|12|5|df|=|y}},,"[[Mumbai]], [[Maharashtra]]",,,,,,,,,,,,,,Anjali Ramakanta Vedpathak,Indian,,5 ft 4 in,,
Anjali Narzary,,Poetess,,,,,,,,,,,Ang Mabwrwi Dong Daswng,,,,,,,,,,,[[India]]n,,,,
Anjali Pendharker,,,India,,,,{{Birth date and age|1959|7|7|df|=|yes}},,"[[Beed|Bhir]], [[Maharashtra]], [[India]]",,,,,,,,,,,,,,,,,,,
Anjali Sharma,,,India,,,,{{birth date and age|1956|12|12|df|=|y}},,"[[New Delhi]], [[India]]",,,,,,,,,,,,,,,,,,,
Anjana Om Kashyap,,"Journalist, [[news presenter]]",,,,Mangesh Kashyap,,,"[[Ranchi]], [[Bihar]] (now [[Jharkhand]]), India",,,,,Anjana Om Kashyap.png,,2,,,,,,,,,,,,
Anjana Saikia,,,,,,,{{birth date and age|df|=|yes|1993|11|18}},,"Garudharia, [[Assam]], India",,,,,,,,,,,,,,,,,,,
Anjana Seth,,Fashion designer,,,,,,,,,,,,AnjanaSeth.jpg,[http://www.krivicouture.com www.krivicouture.com],,,,,,,,,Indian,,,,
Anjolie Ela Menon,,[[Contemporary painter|Contemporary painter and muralist]],,,,,"17th July, 1940",,"Burnpur, [[West Bengal]], India",,,,"Yatra, Looking Out of a Window, Acolyte, Portrait of a Young Actor, The Magician Story",Anjolie Ela Menon (cropped).jpg,,,,,,,"[[Padma Shri]], [[Kalidas Samman]] for Visual Arts","Miranda College [[University of Delhi]], [[École des Beaux-Arts]], [[Lawrence School, Lovedale|The Lawrence School]], [[Sir J.J. Institute of Applied Art]]",,,,,,
Anju Jain,,,India,,,,{{birth date and age|1974|8|11|df|=|yes}},,"[[Delhi]], India",,,,,"The President Dr. A.P.J. Abdul Kalam presenting the Arjuna Award -2005 to Ms. Anju Jain for Cricket (women), at a glittering function in New Delhi on August 29, 2006.jpg",,,,,,,,,,,,,,
Anju Tamang,,,,,,,{{birth date and age|1995|12|22|df|=|y}},,"[[Alipurduar]], [[West Bengal]]",,,,,,,,,,,,,,,,,,,
Anjum Chopra,,,India,,,,{{Birth date and age|df|=|yes|1977|5|20}},,"[[New Delhi]], [[India]]",,,,,File:ANJUM CHOPRA (3388377038).jpg,,,,,,,,,,,,,,
Anjum Hasan,,"Books editor, [[Caravan magazine]]",,,,,1972,,"[[Shillong]], [[Meghalaya]], [[India]]",,,,,Anjum Hasan 20160116-DSC 5781.jpg,{{url|http://www.anjumhasan.com}},,,,,,,,,,,,,
Anjum Moudgil,,,{{IND}},,,,{{birth date and age|1994|1|5|df|=|yes}},,"[[Chandigarh]], India",,,,,Anjum Moudgil at the 12th South Asian Games in 2016.jpg,,,,,,,,,Anjum Moudgil,Indian,69 kg,165 cm,,
Anjum Rehbar,,"[[Urdu Poet]], lyricist",,,,{{Marriage|[[Rahat Indori]]|1988|1993|reason|=|div}},{{birth date and age|df|=|yes|1962|09|17}},,"[[Guna district|Guna]], [[Madhya Pradesh]], [[India]]",,,,,Anjum_Rehbar.jpeg,{{url|anjumrehbar.com}},Sameer Rahat,,,,,"Indra Gandhi Award, Chitransh Firaq Gorakhpuri Award, Sahitya Bharti Award",[[Master of Arts|MA]] [[Urdu]],,Indian,,,,
Ankita Bhakat,,,,,,,{{birth date and age|1998|06|17|df|=|yes}},,"[[Kolkata]], [[West Bengal]]",,,,,Ankita Bhakat Indian Archer.jpg,,,,,,,,,,,,,,
Ankita Bhambri,,,{{IND}},,,,{{birth date and age|1986|10|28|df|=|yes}},,New Delhi,,,,,,,,अंकिता भाम्बरी,,,,,,,,,,,
Ankita Das,,,,,,,{{Birth date and age|1993|07|17|df|=|y}} {{cn|date|=|March 2021}},,"[[Siliguri]], [[West Bengal]], India",,,,,,,,,,,,,,,Indian,53,5.6,,
Ankita Jain,,"Writer, Poet, Author",,,,Samarth Jain,{{Birth date and age|1987|05|05}},,"[[Gwalior]], [[Madhya Pradesh]], [[India]]",,,,,Ankita Jain.jpg,{{URL|http://ankitajain.in/|Official website}},2,,,,,,"[[M.Tech]], [[M.Sc]]",,Indian,,,,
Ankita Ravinderkrishan Raina,,,{{IND}},,,,{{birth date and age|df|=|yes|1993|01|11}},,"[[Ahmedabad]], [[Gujarat]], India",,,,,File:Raina WMQ18 (21) (42834298294).jpg,,,,,,,,,,,,1.63 m,,
Ankushita Boro,,,,,,,{{Birth date and age|df|=|yes|2000|10|06}},,"[[Meghai Jarani Gaon]], [[Assam]], India",,,,,,,,,,,,,,Ankushita Boro,Indian,"Welterweight
(64 kg)",,,
Anna M. M. Vetticad,,"[[Film Critic]], Book Author, columnist, Social media consultant",,,,,{{birth-date and age|2 June 1972}},,"[[Delhi]], India",,,"Author of ""The Adventures of an Intrepid Film Critic""",,Anna Vetticad.jpg,,,,,,,,,,[[India]],,,,
Anna Mani <br/>അന്ന മാണി,,,,,,,23 August 1918,{{Death date and age|2001|08|16|1918|8|23|df|=|yes}},"[[Peermade]], [[Kerala]]","[[Thiruvananthapuram]], [[Kerala]]",,,,Anna Mani.jpg,,,,,,,,,,[[India]]n,,,,
Ana Singh,,,,,,,,,[[Mumbai]] [[India]],,,,,"Amrita Arora,Maheep Kapoor,Anna Singh,Raveena Tandon grace Kallista Spa opening 03.jpg",,,,,,,,,,,,,,
Anna Sujatha Mathai,,Poet,,,,,,,"[[Kerala]], [[India]]",,,,,Anna Sujatha Mathai.jpg,,,,,,,,,,,,,,
Annamma Mathew,,Founder and chief editor of [[Vanitha]],,,,[[K. M. Mathew]],{{Birth date|df|=|yes|1922|3|22}},{{Death date and age|df|=|yes|2003|7|10|1922|3|22}},"Godavari district, <br />[[Andhra Pradesh]]","[[Kottayam]], Kerala",,author of culinary literature,,Mrs_KM_Mathew.jpg,,,,,,,,,,,,,,
Annapurna Maharana,,,,,,Sharat chandra maharana,{{Birth date|1917|11|03|df|=|yes}},{{Death date and age|df|=|yes|2012|12|31|1917|11|03}},"[[Odisha]], India","[[Cuttack]], [[Odisha]], India",,"[[Freedom fighter]], [[Social Activist]]",,Annapurna_Maharana_died_2012.jpeg,,"Karmadev Maharana, Jnanadev Maharana",,,,,,,,Indian,,,,
Annie Besant,,,,,,{{marriage|Frank Besant|1867|1873|reason|=|divorced}},{{birth date|df|=|yes|1847|10|1}},{{death date and age|df|=|yes|1933|9|20|1847|10|1}},"[[Clapham]], [[London]], UK","[[Adyar, Chennai|Adyar]], [[Madras]], [[Madras Presidency]], [[India]]<br />(present day [[Chennai]], [[Tamil Nadu]], [[India]])",,"[[Theosophist]], [[women's rights]] [[activism|activist]], writer and [[orator]]",,"Annie Besant, LoC.jpg",,"Arthur, [[Mabel Besant-Scott|Mabel]]",,,,,,,Annie Wood,British,,,,
Annie Mascarene,,,,,,,6 June 1902,19 July 1963 (aged 61),Travancore State old kerala,,,,,[[File:Anniemascarene.jpg|Annie Mascarene]],,,,,"Member, Travancore State Assembly (1948)",,,"[[Maharaja's College, Ernakulam|Maharajas College]], Ernakulam",,Indian,,,,
Annu Raj Singh,,,India,,,,{{birth date and age|1984|2|17|df|=|yes}},,"[[Aligarh, Uttar Pradesh|Aligarh]], India",,,,,,,,,,,,,,,Indian,{{convert|53|kg|lb|0}},{{height|precision|=|0|m|=|1.64}},,
Anoushka Parikh,,,{{IND}},,,,{{birth date and age|df|=|yes|1997|3|26}},,"[[Gangtok, Sikkim|Gangtok]], [[Sikkim]], India",,,,,,,,,,,,,,Anoushka Ashit Parikh,,,,,
Ansha Singh,,,,,,,{{birth date and age|df|=|yes|1986|2|4}},,"[[Bettiah]], [[West Champaran district|West Champaran]], [[Bihar]], India",,,,,,,,,,,,,,,,,,,
Anshu Jamsenpa,,,,,,Tsering Wange,{{Birth date and age|df|=|yes|1979|12|31}},,"[[Bomdila]], [[West Kameng district]], [[Arunachal Pradesh]], [[India]]",,,,,"The President, Shri Ram Nath Kovind presenting the Tenzing Norgay National Adventure Award, 2017 to Ms. Dr. Anshu Jamsenpa for Adventure, in a glittering ceremony, at Rashtrapati Bhavan, in New Delhi on September 25, 2018.JPG",{{URL| www. anshujamsenpa.com}},2,,,,,[[Tenzing Norgay National Adventure Award]],,,{{IND}},,,,
Anshu Malik,,,[[India]],,,,{{Birth date and age|df|=|yes|2001|8|05}},,"[[Nidani]], [[Jind district]], [[Haryana]], India",,,,,Anshu Malik 2.JPG,,,,,,,,,,Indian,,5 ft 3 in,,
Ansuya Trivedi,,{{ubl|Editor|Researcher}},,,,Bhupendra Trivedi,{{Birth date|df|=|yes|1924|04|07}},,"[[Bombay]], [[British India]]",,,,,,,,,,,,,,,Indian,,,,
Antara Dev Sen,,"writer, journalist",,,,[[Pratik Kanjilal]],{{Birth year and age|1963}},,"[[Cambridge]], England",,,,,Antara Dev Sen - Kolkata 2013-02-03 4349 Cropped.JPG,,,,,,,,,,,,,,
Anu Aga,,"Ex-Chairperson, [[Thermax]] Ltd., [[social worker]]",,,,,{{birth date and age|df|=|yes|1942|08|03}},,"[[Mumbai]], India",,,,,Anu Aga.jpg,,,,,,,,,,[[India]]n,,,,
Anu Parthasarathy,,"entrepreneur, fashion costume designer, celebrity stylist",,,,Parthasarathy,,,,,,fashion designing,,,,,,,,,,,,[[India]]n,,,,
Anu Peshawaria,,[[Lawyer|Attorney]],,,,,{{Birth date and age|1961|09|05}},,"[[Amritsar]], [[Punjab, India|Punjab]], India",,,[[U.S. immigration law]],,"Anu Peshwaria, Indian - American Lawyer.jpg",{{URL|https://anuattorney.com}},,,,,,,,,[[Americans|American]],,,,
Anu Vardhan,,"Entrepreneur, Costume Designer, Celebrity Stylist",,,,[[Vishnuvardhan (director)|Vishnuvardhan]],,,,,,Costume Design,,,,,,,,,,,,[[India]]n,,,,
Anubha Bhonsle,,,,,,,{{birth date and age|df|=|yes|1978|4|3}},,,,,"[[Journalist]], Politics, Social Change",,,,,,,,,"2012 - Best Political Reporter, <br> 2013 - Best Reporter",Post-graduate in Social Communication,,Indian,,,,
Anuja Chauhan<br />अनुजा चौहान,,Writer,,,,,,,"[[Meerut]], Uttar Pradesh",,,"{{plainlist}} * ''[[The Zoya Factor]]'' (2008)
* ''[[Battle For Bittora]]'' (2010)
* ''[[Those Pricey Thakur Girls]]'' (2013)
* ''[[The House That BJ Built]]'' (2015)
* ''Baaz'' (2017)
* ''Club You To Death'' (2021)",,Anuja Chauhan.jpg,,,,,,,,,,Indian,,,,
Anuja Jung,,Shooter,,,,[[Samaresh Jung]],1971 {{!}} 08 {{!}} 06,,"Thane, India",,,,,,,,,,,,,,,Indian,,167,,
Anuja Arun Patil,,,India,,,,{{Birth date and age|1992|6|28|df|=|yes}},,"[[Kolhapur]], [[Maharashtra]], India",,,,,,,,,,,,,,,,,,,
