Full Name,Description,Job,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Reason,Known for,Notable Work,Image,Website,Children,Native Name,Signature,Title,Honours,Awards,Education,Birth Name,Nationality,Weight,Height,Eye Color,Hair Color
Aditi Arya,,[[Actor]],,,,,{{birth date and age|1993|09|18|df|=|yes}},,"[[Chandigarh]], India",,,,,File:Aditi Arya at Femina Miss India 2016 event.jpg,,,,,[[Femina Miss India 2015|Femina Miss India World 2015]],,,"[[Shaheed Sukhdev College of Business Studies]], [[University of Delhi]]<br>[[New Delhi]], [[India]]",,,,,,
Aditi Govitrikar,,"[[Actress]], [[model (person)|Model]], [[Physician|Doctor]]",,,,{{marriage|[[Muffazal Lakdawala]]|1998|2009|reason|=|divorced}},{{Birth date and age|1976|05|21|df|=|y}},,"[[Panvel]], [[Maharashtra]], [[India]]",,,,,Aditi Govitrikar.jpg,{{URL|https://aditigovitrikar.com/}},2,,,[[Gladrags Manhunt and Megamodel Contest|Gladrags Megamodel 1996]]<br/>Gladrags Mrs. India 2001<br/>Mrs. World 2001,,,,,,,,,
Aditi Rao Hydari,,Actress,,,[[Vidya Rao]],[[Satyadeep Mishra]] (separated),,,"[[Hyderabad]], [[Andhra Pradesh]] (now in [[Telangana]]), India",,,,,Aditi Rao Hydari snapped at media interactions for Sammohanam (03) (cropped).jpg,,,,,,,,,,,,,,
Aditi Ravi,,{{hlist|Actress|model}},,,,{{ubl|Vishnu Nair}},,,"[[Thrissur district|Thrissur]], [[Kerala]], India",,,,,Aditi-wiki.jpg,,,,,,,,,,,,,,
Aditi Sarangdhar,,[[Actress]],,,,{{marriage|Suhas Revandekar|2013}},{{birth date and age|df|=|yes|1981|10|16}},,"[[Mumbai]], [[Maharashtra]], [[India]]",,,,,,,,,,,,,,,,,,,
Advani Lakshmi Devi,,Actress,,,,Ramaiah,,,"[[Adoni]], [[Bellary district|Bellary]], [[Madras Presidency]] (now in [[Kurnool district|Kurnool]], [[Andhra Pradesh]]), India",,,,,,,[[Roopa (actress)|Roopadevi]],,,,,,,,,,,,
Ahaana Krishna,,"{{Hlist
|Actor
|singer}}",,,,,{{Birth date and age|1995|10|13|df|=|yes}},,"[[Trivandrum district|Trivandrum]], [[Kerala]], India",,,,,Ahaana_Krishna.jpg,,,,,,,,,,,,,,
Ahsaas Channa,,Actress,,,,,{{birth date and age|1999|08|05|df|=|yes}},,"[[Mumbai, Maharashtra]], India",,,,,Ahsaas_Channa.jpg,,,,,,,,,,,,,,
Aindrita Ray,,{{hlist|Model|film actress}},,,,{{marriage|[[Diganth]]|2018}},{{Birth date and age|df|=|yes|1985|3|3}},,"[[Udaipur]], Rajasthan, [[India]]",,,,,Aindrita Ray.png,,,,,,,,,,Indian,,,,
Satyameva Jayate,,,[[India]],,,,,,,,,,,Satyameva Jayate - 2018 Movie Poster.jpg,,,,,,,,,,,,,,
Aishwarya,,[[Film actress]],,,,{{marriage|Tanveer Ahmed|1994|1996|end|=|div}},{{birth date and age|df|=|yes|1971|05|23}},,"[[Chennai]], [[Tamil Nadu]], India",,,,,,,Anaina (b. 1995),,,,,,,,,,,,
Aishwarya Arjun,,Actress,,,,,{{Birth date and age|df|=|yes|1992|02|10}} {{citation needed|date|=|May 2021}},,"Bangalore, Karnataka",,,,,Aishwarya Arjun.jpg,,,,,,,,,,,,,,
Aishwarya Devan,,Actress,,,,,21 December 1993 (age 27),,"[[Shornur]], [[Palakkad district|Palakkad]], [[Kerala]]",,,,,Aishwarya Devan graces the launch of the new resto-bar Angrezi Patiyaala (10) (cropped).jpg,,,,,"[[Femina Miss India|Femina Miss India Maharashtra 2017]] (Winner)
[[Femina Miss India 2017]] (Top 6)",,,,,Indian,,,,
Aishwarya Nag,,"Actress, model",,,,,,,"[[Bangalore]], India",,,,,File:Aishwarya Nag.jpg,,,,,,,,,,,,,,
Aishwarya Rai Bachchan,,{{hlist|[[Actor|Actress]]|[[Model (people)|model]]}},,,,{{marriage|[[Abhishek Bachchan]]|2007}},{{Birth-date and age|1 November 1973}},,"[[Mangalore]], [[Karnataka]], India",,,,[[Aishwarya Rai filmography|Full list]],Aishwarya Rai Cannes 2017.jpg,,1,,Signature of Aishwarya Rai Bachchan.svg,[[Miss World 1994]],{{hlist|[[Padma Shri]] (2009)}} {{hlist|[[Ordre des Arts et des Lettres]] (2012)}},[[List of awards and nominations received by Aishwarya Rai|Full list]],,,,,,,
Aishwarya Rai Bachchan,,{{hlist|[[Actor|Actress]]|[[Model (people)|model]]}},,,,{{marriage|[[Abhishek Bachchan]]|2007}},{{Birth-date and age|1 November 1973}},,"[[Mangalore]], [[Karnataka]], India",,,,[[Aishwarya Rai filmography|Full list]],Aishwarya Rai Cannes 2017.jpg,,1,,Signature of Aishwarya Rai Bachchan.svg,[[Miss World 1994]],{{hlist|[[Padma Shri]] (2009)}} {{hlist|[[Ordre des Arts et des Lettres]] (2012)}},[[List of awards and nominations received by Aishwarya Rai|Full list]],,,,,,,
Aishwarya Rajesh,,{{hlist|Actress|TV anchor}},,,,,{{Birth date and age|1990|01|10|df|=|yes}},,"[[Madras]] (present-day [[Chennai]]),  [[Tamil Nadu]], [[India]]",,,,,Aishwarya Rajesh at Rummy Audio Launch.jpg,,,,,,,,,,,,,,
Aishwarya Sakhuja,,"[[Model (person)|Model]], [[Actress]]",,,,{{marriage|Rohit Nag|2014}},{{Birth date and age|1987|01|04}},,,,,,,Aishwarya Sakhuja.jpg,,,,,,,,,,[[Indian people|Indian]],,,,
Ajita Suchitra Veera,,,,,,,,,,,,,,Ajita Suchitra Veera.jpg,,,,,,,,,,,,,,
Akanksha Juneja,,"[[Actress]], [[Model (person)|Model]]",,,,,{{birth date and age|1990|3|30}},,"[[Delhi]], [[India]]",,,,,,,,,,,,,,,Indian,,,,
Akanksha Puri,,{{hlist|Actress|model|dancer}},,,,,,,"[[Bhopal]], [[Madhya Pradesh]], India",,,,,Akanksha Puri in 2017.jpg,,,,,,,,,,[[Indian people|Indian]],,,,
Aksha Pardasany,,{{hlist|[[Film actor|Film actress]]|[[Model (person)|model]]}},,,,,,,,,,,,,{{url|https://akshapardasany.com/}},,,,,,,,,,,,,
Akshara Gowda,,"[[Actress]], Model",,,,,,,"[[Bangalore]], [[Karnataka]], India",,,,,,,,,,,,,,,,,,,
Akshara Haasan,,"Actress, singer",,,,,{{Birth date and age|1991|10|12|df|=|y}},,"[[Madras]], (now [[Chennai]]), [[Tamil Nadu]], India",,,,,Akshara Haasan at the special screening of 'Club 60'.jpg,,,,,,,,,,,,,,
Iswarya Menon,,Actress,,,,,{{birth date and age|df|=|yes|1995|5|8}},,"[[Erode, Tamil Nadu]], India",,,,''[[Naan Sirithal]]'',Iswarya Menon.jpg,,,,,,,,,,,,,,
Alankrita Shrivastava,,"Director
Screenwriter",,,,,{{birth date and age|1979|08|21|df|=|yes}},,,,,,,File:Alankrita Shrivastava at Stockholm Film Festival - 2016 (38432410636) (cropped).jpg,,,,,,,,,,,,,,
Alarmel Valli,,"[[Indian classical dance]]r, [[choreographer]]",,,,[[Bhaskar Ghose]],{{birth date and age|1956|09|14|df|=|yes}},,"[[Chennai]], [[Tamil Nadu]], [[India]]",,,[[Pandanallur style]] of [[Bharatnatyam]],,,{{url|http://www.alarmelvalli.org/}},,,,,,{{Unbulleted list|[[Padma Bhushan]]|[[Padma Shri]]}},,,Indian,,,,
Alaya Furniturewalla,,Actress,,,,,Aalia Furniturewala<br> {{Birth date and age|df|=|yes|1997|11|28}},,"[[Mumbai]], [[Maharashtra]], India",,,,,Alaya F at Bayroute in Juhu.jpg,,,,,,,,,,,,,,
Aleya Sen,,"director, producer, writer",,,,,,,,,,,,,,,,,,,,,,,,,,
Alia Bhatt,,"Actress, singer",,,,,{{birth date and age|df|=|yes|1993|3|15}},,"[[Bombay, Maharashtra]], India",,,,,Alia Bhatt grace the screening of Netflix’s film Guilty (2) (cropped).jpg,,,,,,,[[List of awards and nominations received by Alia Bhatt|Full list]],,,,,,,
Amala Akkineni,,{{hlist | Actress | social activist}},,,,{{marriage|[[Nagarjuna (actor)|Nagarjuna]]|1992}},{{birth date and age|df|=|y|1967|9|12}},,"[[Calcutta]], [[West Bengal]], India",,,,,Amala Akkineni Hyderabad 2010.jpg,,[[Akhil Akkineni]]<br>[[Naga Chaitanya]] (step-son),,,,,,,,,,,,
Amala Paul,,{{hlist|Actress|model}},,,,{{marriage|[[A. L. Vijay]]|2014|2017|reason|=|divorced}},{{birth date and age|1991|10|26|df|=|yes}},,"[[Ernakulam]], Kerala, India",,,,,Amala Paul at 60th South Filmfare Awards 2013 (cropped).jpg,,,,,,,,,,,,,,
Ambika,,,,,,{{marriage|Premkumar Menon|1988|1996|reason|=|divorce}} <br> {{marriage|[[Ravikanth (actor)|Ravikanth]]|2000|2002|reason|=|divorce}},{{Birth date and age|df|=|yes|1962|08|16}},,"[[Kallara, Thiruvananthapuram]] , [[Kerala]], [[India]]",,,,,Actress Ambika (cropped).JPG,,Ramkesav (b.1989)<br>Rishikesh (b.1991),,,,,Kalaimaamani (1984),,,,,,,
Ameesha Patel,,"Actress, [[Film producer|Producer]], [[Model (people)|Model]]",,,,,{{birth date and age |df|=|yes|1975|06|09}},,"[[Mumbai]], [[Maharashtra]], India",,,,,"The glamorous Film Star Amisha Patel at the ‘India – The Big Picture Conference – 2005’ organized by CII as part of IFFI events, in Panaji, Goa on November 24, 2005.jpg",,,,,,,,,,[[Indian people|Indian]],,,,
Ameeta,,[[Actress]],,,,,{{Birth date and age|df|=|yes|1940|04|11}},,"[[Calcutta]], [[British India]]",,,,,,,,,,,,,,,[[India]]n,,,,
Amulya,,Actress,,,,{{marriage|Jagadish|2017}},{{birth date and age|df|=|yes|1993|9|14}},,"[[Bangalore]], [[Karnataka]], India",,,,,,,,,,,,,,,,,,,
Amrita Arora,,"Actress, Model, [[Television presenter]], [[VJ (media personality)|VJ]]",,Anil Arora,Joyce Polycarp,{{marriage|  Shakeel Ladak   | 2009}},{{birth date and age|1978|1|31|df|=|y}},,"[[Mumbai]], [[Maharashtra]], [[India]]",,,,,Amrita arora kallista spa.jpg,,2,,,,,,12 pass only,,India,,,,
Amrita Puri,,Actress,,,,{{marriage |Imrun Sethi|2017}},{{birth date and age|df|=|yes|1983|08|20}},,"[[Mumbai]], [[Maharashtra]], India",,,,,Amrita Puri at '8th Annual Gemfields RioTinto Retail Jeweller India Awards 2012' meet 14.jpg,,,,,,,,,,,,,,
Amrita Raichand,,"[[Actress]], [[Chef]]",,,,,,,"[[Dhanbad]], [[Jharkhand]]",,,,,Amrita Raichand.jpg,,,,,,,,,,Indian,,,,
Amrita Rao,,"Actress, [[model (person)|Model]]",,,,RJ Anmol (m. 2016),,,"[[Bombay]], [[Maharashtra]], India",,,,,Amrita Rao Indian Female Actor.jpg,,1 (son),,,,,,,,,,,,
Amrita Singh,,[[Actor|Actress]],,Shavinder Singh,[[Rukhsana Sultana]],{{marriage|[[Saif Ali Khan]]<br/>|1991|2004|reason|=|divorced}},{{birth date and age|df|=|yes|1958|02|09}},,,,,,,Amrita Singh & Sara Ali Khan at Shaadi By Marriott showcase (08) (cropped).jpg,,2 (including [[Sara Ali Khan]]),,,,,,,,,,,,
Amruta Khanvilkar Malhotra,,{{hlist|[[Actress]]|[[dancer]]}},,,,{{marriage|[[Himmanshoo A. Malhotra]]|2015}},{{birth date and age|1984|11|23|df|=|y}},,"[[Mumbai]], [[Maharashtra]], [[India]]",,,{{ubl|''[[Dance India Dance#Season 6|Dance India Dance 6]]''|''[[Fear Factor: Khatron Ke Khiladi 10|Khatron Ke Khiladi 10]]''|''[[Raazi]]''|''[[Katyar Kaljat Ghusali (film)|Katyar Kaljat Ghusali]]''}},,Amruta Khanvilkar graces the trailer launch of Satyameva Jayate (08).jpg,,,,,,,,,,[[India]]n,,,,
Amruta Subhash,,Actress,,,,Sandesh Kulkarni,{{Birth date and age|df|=|yes|1979|05|13}},,"[[Mumbai]], Maharashtra, India",,,,,Amruta Subhash 2.jpg,,,,,,,,,,India,,,,
Amrutha Iyengar,,Actress,,,,,,,"[[Mysore]], [[Karnataka]]",,,,,,,,,,,,,Graduate in Psychology,,Indian,,,,
Amy Jackson,,{{hlist|Actress|model}},,,,,{{birth date and age|31 January 1992|df|=|y}},,"[[Douglas, Isle of Man|Douglas]], [[Isle of Man]]",,,,,Amy_Jackson_headshot_(cropped).jpg,,1,,,,,,,,,,,,
Amyra Dastur,,"Actress, model",,,,,{{birth date and age|df|=|yes|1993|5|07}},,"[[Mumbai]], [[Maharashtra]], India",,,,,Amyra Dastur snapped during photoshoot (2) (cropped).jpg,,,,,,,,,,,,,,
Anaika Soti,,{{hlist|[[Actress]]|[[Model (person)|model]]}},,,,,,,,,,,,Anaika Soti.jpg,,,,,,,,,,[[Indian people|Indian]],,,,
Ananya,,{{hlist|Actress|Singer|Archer|Actress}},,,,{{marriage|Anjaneyan|2012}},{{birth date and age|df|=|yes| 1987|03|29}},,"[[Kochi]], [[Kerala]], India",,,,,Ananyaa.jpg,,,,,,,,,,,,,,
Ananya Kasaravalli,,,,[[Girish Kasaravalli]],[[Vaishali Kasaravalli]],M.S. Santhosh,,,,,,,,"{{CSS image crop
|Image |=| The cast and crew of the film Harikatha Prasanga at the presentation, during the 47th International Film Festival of India (IFFI-2016), in Panaji, Goa on November 24, 2016.jpg
|bSize |=| 1550
|cWidth |=| 200
|cHeight |=| 260
|oTop |=| 120
|oLeft |=| 1135
|Location|=|center}}",,,,,,,,,,,,,,
Ananya Panday,,Actress,,[[Chunky Pandey]],,,{{Birth date and age|df|=|yes|1998|10|30}},,"[[Mumbai]], [[Maharashtra]], India",,,,,Ananya Panday snapped in Andheri.jpg,,,,,,,,,,,,,,
Anaswara Kumar,,[[Actress]],,,,Aditya Nayar (m. 2019),{{birth date and age|1993|1|1|df|=|y}},,"Chennai, Tamil Nadu, India",,,,,"Anaswara at HCL 2013 Year End Celebrations, Chennai, 12-19-13 (3) (cropped).jpg",,,,,,,,,,Indian,,,,
Anaswara Rajan,,Actress,,,,,{{Birth date and age|2002|9|08|df|=|y}},,"[[Karivellur, Kannur, Kerala]], India",,,,,,,,,,,,,,,[[India]]n,,,,
Andrea Jeremiah,,{{Hlist|Actress|singer|lyricist|composer|voice actress}},,,,,,,,,,,,Andrea Jeremiah.jpg,,,,,,,,,,,,,,
Angira Dhar,,{{hlist|Actress|model}},,,,{{marriage|[[Anand Tiwari]]|30 April 2021}},,,"[[Mumbai]], India",,,,,Angira Dhar grace the success bash of Commando 3 (12) (cropped).jpg,,,,,,,,,,,,,,
Anindita Nayar,,Film actress,,,,,{{birth date and age|1988|7|1|df|=|yes}},,"[[New Delhi]], India",,,,,Anindita Nayar.jpg,,,,,,,,,,,,,,
Anita Guha,,,,,,[[Manik Dutt]],{{Birth date|1932|01|17|df|=|yes}},{{death date and age|2007|06|20|1939|01|17|df|=|yes}},,,,,,Anita_guha.jpg,,,,,,,,,,,,,,
Anita Hassanandani Reddy,,{{hlist|Actress}},,,,{{Marriage|Rohit Reddy|2013}},{{birth date and age|df|=|yes|1981|04|14}},,"[[Bombay]], [[Maharashtra]], India",,,''[[Kkavyanjali]]''<br />''[[Yeh Hai Mohabbatein]]''<br />''[[Naagin (2015 TV series)|Naagin]]''<br />''[[Nach Baliye#Season 9|Nach Baliye 9]]'',,Anita Hassanandani grace Colors’ annual bash.jpg,,1(son),,,,,,,,,,,,
Anita Pratap,,"Journalist, writer",,,,Pratap Chandran {{small|(divorced)}} <br/>[[Arne Roy Walther]] {{small|(1999–present)}},{{birth date and age|df|=|yes|1958|12|23}},,"[[Kottayam]], Kerala, India",,,,,,{{URL|http://www.anitapratap.com/}},Zubin (son),,,,,,,,Indian,,,,
Anita Raj,,Actor,,,,Sunil Hingorani <br>(m.1993-present),{{birth date and age|1963|02|28|df|=|y}},,"[[Mumbai]], [[Maharashtra]], [[India]]",,,,"[[Ghulami]], with [[Mithun Chakraborty]]",AnitaRaj.jpg,,Shivam (b.1994),,,,,,,,,,,,
Anita Udeep,,"Director, writer",,,,,1978,,"[[Chennai]], [[Tamil Nadu]], India",,,,Azhagiya Asura,,,,,,,,,,,,,,,
Anjala Zaveri,,Actress,,,,[[Tarun Arora]],{{birth date and age|1972|4|20|df|=|yes}},,"[[London]], [[England]]",,,,,AnjalaZaveri.jpg,,,,,,,,,,,,,,
Anjali,,Actress,,,,,{{Birth date and age|1986|6|16|df|=|yes}},,"[[Razole, Andhra Pradesh]], India",,,,,Anjali at 60th South Filmfare Awards 2013.jpg,,,,,,,,,,,,,,
Anjali Devi,,"{{flatlist|
* [[Actress]]
* [[Model (person)|model]]
* [[film producer]]}}",,,,{{marriage | [[P. Adinarayana Rao]] | 1948 | 1991 |reason|=|his death}},{{birth date|df|=|yes|1927|8|24}},{{Death date and age|df|=|yes|2014|1|13|1927|8|24}},"[[Peddapuram]], [[East Godavari]], [[Madras Presidency]] (now in [[Andhra Pradesh]]), [[British India]]","[[Chennai]], [[Tamil Nadu]], [[India]]",,,,Anjali Devi in Mangaiyarkarasi 1949.jpg,,,,,,,,,,,,,,
Anjali Menon,,{{hlist|Film director|screenwriter}},,,,Vinod Menon,,,"[[Kozhikode]], [[Kerala]], India",,,,,അജ്ഞലി മേനോൻ.jpg,{{url|https://www.anjalimenon.in}},1,,,,,,,,,,,,
Anjali,,Actress,,,,,{{Birth date and age|1972|5|22|df|=|y}},,"[[Kanakapura, Karnataka]]",,,,,Anjali Sudhakar DXB.jpg,,2,,,,,,,,,,,,
Anjana Bhowmick,,Actress,,,,Anil Sharma,{{Birth date and age|1944|12|30|df|=|y}},,"[[Cooch Behar]], [[Bengal Presidency]], [[British India]]",,,,,,,,,,,,,,,,,,,
Anjana Sukhani,,"[[Actress]], [[Model (person)|model]]",,,,Arun135(Gavli),{{Birth date and age|1978|12|10|df|=|y}},,"[[Jaipur]], [[Rajasthan]], [[India]]",,,,,Anjana Sukhani at 59th Filmfare Awards.jpg,,,,,,,,,,Indian,,,,
Anju Mahendru,,,,,,,,,"[[Mumbai|Bombay]], [[Bombay Presidency]], [[British Raj|British India]] (present-day [[Mumbai]], [[Maharashtra]], [[India]])",,,,,Anju Mahendroo at Mushtaq Sheikh's birthday bash.jpg,,,,,,,,,,,,,,
Anjuli Shukla,,"[[Cinematographer]], [[Film Director]]",,,,,,,"[[Lucknow]], [[Uttar Pradesh]], [[India]]",,,,,,,,,,,,[[National Film Awards]],,,,,,,
Ankita Lokhande,,Actress,,,,,{{Birth date and age|df|=|yes|1984|12|19}},,"[[Indore]], [[Madhya Pradesh]], India",,,,''[[Pavitra Rishta]]'',Ankita-snapped-at-Baaghi-3-promotions.jpg,,,,,,,,,,Indian,,,,
Ann Augustine,,Actress,,,,{{marriage|[[Jomon T. John]]|2014|2020|reason|=|divorce}},{{birth date and age|df|=|yes|1989|7|30}},,"[[Kozhikode]], [[Kerala]], [[India]]",,,,,Ann_Augustine.jpg,,,,,,,,,,,,,,
Annapurna Devi,,,,[[Allauddin Khan]],,"{{Unbulleted list
 | |marriage|[[Ravi Shankar]]|1941|1982|end|=|div|
 | |marriage|Rooshikumar Pandya|1982|2013|end|=|died}} {{marriage|[[Ravi Shankar]]|1941|1982|end|=|div}} {{marriage|Rooshikumar Pandya|1982|2013|end|=|died}}",1927,{{death date and age|df|=|yes|2018|10|13|1927}},"[[Maihar]], [[Central India Agency]], [[British Raj|British India]]","[[Mumbai]], India",,,,,,[[Shubhendra Shankar]],,,,,,,,,,,,
Annie,,{{hlist|Actress|[[Television presenter]]}},,,,{{married|[[Shaji Kailas]]|1996}},{{birth date and age|df|=|yes|1975|07|21}},,"[[Pala, Kerala|Pala]], [[Kerala]], India",,,,,,,3,,,,,,,,,,,,
Ansiba Hassan,,"{{flatlist|
* Actress
* model
*Host}}",,,,,,,"[[Calicut]], [[Kerala]], India",,,,''[[Drishyam]]'' (2013),,,,,,,,,,,,,,,
Antara Kak,,[[Film director]]<br />[[Film producer]],,,,,,,,,,,,,,,,,,,,,,,,,,
Antara Mali,,Actress,,,,{{Marriage|Che Kurrien|2009}},{{birth date and age|1975|10|20|df|=|yes}},,"[[Mumbai]], India",,,,,,,2,,,,,,,,,,,,
Anu Aggarwal,,"Actress, model, social activist",,,,,{{birth date and age|df|=|y|1969|1|11}},,"[[New Delhi]], India",,,,,Anu11.png,,,,,,,,,,,,,,
Anu Malhotra,,"Film Director, Presenter, [[Screenwriter]]",,,,Iqbal Malhotra,{{Birth date and age|1961|03|26|df|=|yes}},,"[[New Delhi]], [[Delhi]], India",,,,,"Anu Malhotra, Filmaker.JPG",,,,,,,,,,,,,,
Anu Menon,,"Director, screenwriter",,,,,,,,,,,,,,,,,,,,,,,,,,
Anu Prabhakar,,Actress,,M.V. Prabhakar,Gayathri Prabhakar,{{marriage|Krishna Kumar|2002|2014}} <br/> {{marriage|[[Raghu Mukherjee]]|2016}},{{Birth date and age|1980|11|9|df|=|no}},,"[[Bangalore]], Karnataka, India",,,,,File:Anu Prabhakar - TeachAIDS Interview.png,,,,,,,,,,,,,,
Anu Sithara,,[[Actress]],,,,{{marriage|Vishnu Prasad|2015}},{{birth date and age|1995|08|21|df|=|yes}},,"[[Kalpetta]], [[Wayanad]], [[Kerala]], India",,,,,,,,,,,,,,,[[India]]n,,,,
Anupama Bhagwat,,"Musician, Sitarist",,,,,,,,,,,,,{{url|www.anupamabhagwat.com}},,,,,,,,,,,,,
Anupama Parameswaran,,Actress,,,,,,,"[[Irinjalakuda]], [[Kerala]], India",,,,,AnupamabyDinesh.jpg,,,,,,,,,,,,,,
Anupria Goenka,,{{hlist|Actress|model}},,,,,{{birth date and age|1987|5|29|df|=|y}},,"[[Kanpur]], [[Uttar Pradesh]], India",,,,,Anupriya Goenka at the screening of Criminal Justice.jpg,,,,,,,,[[Shaheed Bhagat Singh College]],,,,165cm,,
Anuradha Acharya,,,,,,,{{birth year and age|1972}},,"[[Bikaner]], [[India]]",,,[[Genomics]],,Anuradha Acharya.JPG,Anu Acharya's blog,,,,,,"[[Young Global Leader]], [[World Economic Forum]]",,,{{flagicon|IND}} [[India]]n,,,,
Anuradha Lohia,,,,,,,,,,,,,,,,,,,,,,,,[[Indian people|Indian]],,,,
Anu Mehta,,"Actress, model",,,,,,,,,,,,Anumehta.jpg,,,,,,,,,,,,,,
Anuradha Pal,,"Musician, Music Composer, [[Tabla]] Virtuoso",,,,,,,,,,,,Anuradha Pal (closeup).jpg,{{URL|https://www.anuradhapal.com/}},,,,,,,,,,,,,
Anurita Jha,,"Actress, model",,,,,{{birth date and age|1986|09|17|df|=|y}},,"[[Madhubani, India|Madhubani]], [[Bihar]], [[India]]",,,,,Anurita Jha at 3rd Expandables Awards 2019.jpg,,,,,,,,,,,,,,
Anusha Dandekar,,{{hlist|[[VJ (media personality)|VJ]]|host|actress|singer|model}},,,,,{{Birth date and age|1982|1|9|df|=|y}},,"[[Khartoum]], [[Sudan]]",,,,,Anousha Dandekar unveils MTV The ONE (13).jpg,,,,,,,,,,[[Australian]],,,,
Anusha Rizvi,,[[Film director]] & [[Screenwriter]],,,,[[Mahmood Farooqui]],{{Birth date and age|df|=|yes|1978|3|13}},,"[[Delhi]], [[India]]",,,,,Cine-Bahastalab-2012 Anusha Rizvi (Director).jpg,,,,,,,,,,,,,,
Anushka Ranjan,,"{{Flat list|
*Film actress
*Model}}",,,,,{{birth date and age|1990|10|1|df|=|y}},,"[[Mumbai]], [[Maharashtra]], India",,,,,Anushka Ranjan graces the 18th ITA Awards 2018 (36) (cropped).jpg,,,,,,,,,,,,,,
Anushka Sen,,"Actress, model",,,,,{{Birth date and age|2002|8|04|df|=|y}},,"[[Ranchi, Jharkhand]], India",,,{{ubl|''[[Baal Veer]]''|''[[Jhansi Ki Rani (2019 TV series)|Jhansi Ki Rani]]''|''[[Fear Factor: Khatron Ke Khiladi 11|Khatron Ke Khiladi 11]]}},,Anushka Sen at Khatron Ke Khiladi 11 press conference.jpg,,,,,,,,"[[Ryan International School]], [[Thakur College of Science and Commerce]], [[Mumbai]]",,,,,,
